a,b,obs,expA,expB,null_mean,null_sd,z,ratioA,ratioB
14:0,20:1,46.0,67.89161238331879,43.79917413599021,44.52,6.717112474865969,0.22033277029941772,0.6775505601528823,1.050248113290368
14:0,20:2,46.0,67.14330803841247,43.31641770763761,45.14,6.44751114772204,0.13338480233630068,0.6851017822011919,1.0619530061436548
14:0,20:3,48.0,68.98005506681888,44.501365304503075,45.885,7.666275171163633,0.27588365311429003,0.695853315186598,1.0786185922961538
14:0,20:4,48.0,114.96675844469814,74.1689421741718,77.575,8.391923200315885,-3.5242219565220467,0.41751198911195875,0.6471711553776921
14:0,20:5,46.0,66.80316969981868,43.09698296747734,44.925,7.374237248692232,0.14577778877275022,0.6885900804812388,1.0673600988429606
14:0,21:0,46.0,66.9392250352562,43.184756863541445,44.9,6.706713054842887,0.16401477012732732,0.6871905071469273,1.0651906677477514
14:0,22:0,46.0,68.23175072191256,44.01860887615048,45.51,6.154664897457865,0.07961440763450706,0.6741729402119407,1.0450125793258098
14:0,22:1,48.0,87.27949768316432,56.306954325125695,58.355,8.03423767385556,-1.28885905799084,0.5499573356190259,0.8524701890789553
14:0,22:2,46.0,67.95964005103754,43.84306108402226,44.92,6.698029560997771,0.16124145021526542,0.6768723313639404,1.049196813877665
14:0,22:4,46.0,66.59908669666241,42.96532212338117,43.83,6.457638887395301,0.3360361329952401,0.6907001624438984,1.0706308652336949
14:0,22:6,46.0,67.34739104156873,43.44807855173377,45.025,7.202386757179871,0.1353717917227993,0.6830257161945218,1.0587349667310983
14:1,15:0,45.0,60.797797327244645,39.22271424614023,40.155,5.649865042635976,0.8575426073787308,0.7401583935317119,1.1472943896132404
14:1,16:0,46.0,116.08018266066752,74.88724977374876,77.855,8.88504220586487,-3.5852390187829433,0.3962778050967574,0.6142567678607019
14:1,16:1,46.0,67.01866899469478,43.23600884727483,44.735,6.590506429706291,0.19194276092321114,0.686375911220221,1.0639279902659051
14:1,17:0,46.0,65.60774964743806,42.325777082069045,43.87,7.2762009318050005,0.29273518144469596,0.7011366835045267,1.0868081620995804
14:1,17:1,46.0,62.593512860116846,40.38119103822032,41.795,6.698729357124378,0.6277309883444993,0.7349004377306669,1.1391442108892118
14:1,17:2,46.0,62.72177825532201,40.46393938051176,42.625,6.767892951281071,0.4986781003031613,0.7333975738498271,1.1368146726256345
14:1,18:0,46.0,115.43885568464172,74.47350806229157,78.34,8.595021814981042,-3.7626431550914377,0.39847934845840605,0.6176693054599283
14:1,18:1,46.0,118.38895977436036,76.3767199349946,79.32,8.884120665547043,-3.750511868801627,0.3885497438922702,0.602277762636983
14:1,18:2,46.0,110.30823987643544,71.16357437063417,73.74,8.526570236619177,-3.2533597015203886,0.41701327164251795,0.6463981103650411
14:1,18:3,90.0,120.31294070243771,77.61794506936612,80.515,8.074637762773015,1.1746656975411653,0.7480492079616875,1.1595256730845966
14:1,18:4,45.0,61.37499160566785,39.595081786451686,41.845,6.961391743035297,0.4532139716395794,0.7331976562884669,1.1365047872030845
14:1,19:0,46.0,65.54361694983547,42.284402910923326,44.225,6.6943539643493635,0.2651488118872594,0.7018227272261555,1.0878715751740418
14:1,19:1,45.0,62.85004365052716,40.54668772280319,41.405,6.468460017654899,0.5557737065990777,0.7159899561919009,1.1098317156666855
14:1,20:0,46.0,108.06359546034517,69.71547838053407,72.53,8.657892353223156,-3.0642561627742375,0.425675268382867,0.6598247773459173
14:1,20:1,46.0,64.00443220737358,41.29142280342611,42.53,6.100745856040883,0.5687829130866101,0.7187002276804919,1.1140328154587882
14:1,20:2,46.0,63.298972533745214,40.83630692082321,42.125,6.055524337330335,0.6399115558188557,0.726710057978856,1.1264485813858873
14:1,20:3,48.0,65.03055536901483,41.95340954175759,43.715,6.82449815004737,0.6278849969312768,0.7381145636481924,1.1441263183204227
14:1,20:4,46.0,108.38425894835807,69.92234923626265,73.41,8.737957427225199,-3.1368887097798828,0.4244158740977106,0.657872633034243
14:1,20:5,46.0,62.978309045732324,40.62943606509462,42.42,6.869759821129118,0.5211244778877273,0.7304102110235549,1.132184062961172
14:1,21:0,46.0,63.10657444093748,40.71218440738606,42.9,6.4257295305669375,0.48243549393939256,0.7289256374239135,1.129882875841332
14:1,22:0,46.0,64.32509569538648,41.4982936591547,42.33,6.3427990666581895,0.5786089014378321,0.7151174748007286,1.108479311892194
