head,a,b,obs,null_mean,z
TG,16:0,18:1,33.0,34.47,-0.2545512744533462
TG,16:0,18:2,34.0,34.02,-0.0037582566814691964
TG,16:0,18:3,66.0,65.38,0.07690413839866016
TG,16:0,18:4,33.0,32.52,0.07992277861964531
TG,16:0,19:0,34.0,34.35,-0.06550644083637912
TG,16:0,19:1,33.0,33.21,-0.03884501985357707
TG,16:0,20:0,34.0,34.56,-0.08842624568270517
TG,16:0,20:1,34.0,33.78,0.035478518213219915
TG,16:0,20:2,34.0,34.0,0.0
TG,16:0,20:3,34.0,33.58,0.07269134529107481
TG,16:0,20:4,34.0,34.64,-0.10891286170598778
TG,16:0,20:5,34.0,34.26,-0.03793603809168716
TG,16:0,21:0,34.0,34.09,-0.016221641452856914
TG,16:0,22:0,34.0,34.03,-0.004970465157370664
TG,16:0,22:1,57.0,50.67,0.9469821257755969
TG,16:0,22:2,35.0,35.53,-0.08146224082686543
TG,16:0,22:3,35.0,34.56,0.0685441412034144
TG,16:0,22:4,34.0,33.97,0.006205835525722772
TG,16:0,22:5,34.0,34.6,-0.10466885439780799
TG,16:0,22:6,34.0,33.82,0.02863006157571161
TG,16:1,17:0,34.0,34.85,-0.14272617827567394
TG,16:1,17:1,34.0,32.78,0.2070129123949995
TG,16:1,17:2,34.0,34.28,-0.05076530566735367
TG,16:1,18:0,34.0,32.87,0.1947896626604374
TG,16:1,18:1,34.0,34.09,-0.016317339222970323
TG,16:1,18:2,34.0,35.12,-0.1863934897314525
TG,16:1,18:3,66.0,64.67,0.17276938475132578
TG,16:1,18:4,33.0,33.56,-0.08991834213539077
TG,16:1,19:0,34.0,34.44,-0.07794462551967804
TG,16:1,19:1,33.0,32.47,0.08505448267365076
TG,16:1,20:0,34.0,34.13,-0.023419394136442923
TG,16:1,20:1,34.0,34.67,-0.10733940849439794
TG,16:1,20:2,34.0,35.11,-0.18073789771978163
TG,16:1,20:3,34.0,34.75,-0.13632420944248658
TG,16:1,20:4,34.0,34.48,-0.08478712916020627
